"cat01_code","(F002-02-2-006)全国農業地域・都道府県_ふるい目幅","cat02_code","(F002-02-1-010)被害面積及び被害量","unit","value"
"005","(全国農業地域)_北陸","023","虫害_カメムシ_被害率_実数","％","0.1"
"005","(全国農業地域)_北陸","024","虫害_カメムシ_被害率_対前年差","ﾎﾟｲﾝﾄ","0.0"
"006","(全国農業地域)_関東・東山","001","気象被害_冷害_被害面積","ha","7990"
"006","(全国農業地域)_関東・東山","002","気象被害_冷害_被害量","ｔ","3160"
"006","(全国農業地域)_関東・東山","003","気象被害_冷害_被害率_実数","％","0.2"
"006","(全国農業地域)_関東・東山","004","気象被害_冷害_被害率_対前年差","ﾎﾟｲﾝﾄ","0.0"
"006","(全国農業地域)_関東・東山","005","気象被害_日照不足_被害面積","ha","178000"
"006","(全国農業地域)_関東・東山","006","気象被害_日照不足_被害量","ｔ","42000"
"006","(全国農業地域)_関東・東山","007","気象被害_日照不足_被害率_実数","％","2.9"
"006","(全国農業地域)_関東・東山","008","気象被害_日照不足_被害率_対前年差","ﾎﾟｲﾝﾄ","-0.4"
"006","(全国農業地域)_関東・東山","009","気象被害_高温障害_被害面積","ha","90300"
"006","(全国農業地域)_関東・東山","010","気象被害_高温障害_被害量","ｔ","16100"
"006","(全国農業地域)_関東・東山","011","気象被害_高温障害_被害率_実数","％","1.1"
"006","(全国農業地域)_関東・東山","012","気象被害_高温障害_被害率_対前年差","ﾎﾟｲﾝﾄ","-1.1"
"006","(全国農業地域)_関東・東山","013","病害_いもち病_被害面積","ha","58400"
"006","(全国農業地域)_関東・東山","014","病害_いもち病_被害量","ｔ","16200"
"006","(全国農業地域)_関東・東山","015","病害_いもち病_被害率_実数","％","1.1"
"006","(全国農業地域)_関東・東山","016","病害_いもち病_被害率_対前年差","ﾎﾟｲﾝﾄ","0.2"
"006","(全国農業地域)_関東・東山","017","虫害_ウンカ_被害面積","ha","11400"
"006","(全国農業地域)_関東・東山","018","虫害_ウンカ_被害量","ｔ","1460"
"006","(全国農業地域)_関東・東山","019","虫害_ウンカ_被害率_実数","％","0.1"
"006","(全国農業地域)_関東・東山","020","虫害_ウンカ_被害率_対前年差","ﾎﾟｲﾝﾄ","0.0"
"006","(全国農業地域)_関東・東山","021","虫害_カメムシ_被害面積","ha","26100"
"006","(全国農業地域)_関東・東山","022","虫害_カメムシ_被害量","ｔ","3890"
"006","(全国農業地域)_関東・東山","023","虫害_カメムシ_被害率_実数","％","0.3"
"006","(全国農業地域)_関東・東山","024","虫害_カメムシ_被害率_対前年差","ﾎﾟｲﾝﾄ","-0.1"
"007","(全国農業地域)_東海","001","気象被害_冷害_被害面積","ha","146"
"007","(全国農業地域)_東海","002","気象被害_冷害_被害量","ｔ","49"
"007","(全国農業地域)_東海","003","気象被害_冷害_被害率_実数","％","0.0"
"007","(全国農業地域)_東海","004","気象被害_冷害_被害率_対前年差","ﾎﾟｲﾝﾄ","-0.1"
"007","(全国農業地域)_東海","005","気象被害_日照不足_被害面積","ha","81400"
"007","(全国農業地域)_東海","006","気象被害_日照不足_被害量","ｔ","15700"
"007","(全国農業地域)_東海","007","気象被害_日照不足_被害率_実数","％","3.4"
"007","(全国農業地域)_東海","008","気象被害_日照不足_被害率_対前年差","ﾎﾟｲﾝﾄ","0.8"
"007","(全国農業地域)_東海","009","気象被害_高温障害_被害面積","ha","53300"
"007","(全国農業地域)_東海","010","気象被害_高温障害_被害量","ｔ","6280"
"007","(全国農業地域)_東海","011","気象被害_高温障害_被害率_実数","％","1.4"
"007","(全国農業地域)_東海","012","気象被害_高温障害_被害率_対前年差","ﾎﾟｲﾝﾄ","0.7"
"007","(全国農業地域)_東海","013","病害_いもち病_被害面積","ha","21500"
"007","(全国農業地域)_東海","014","病害_いもち病_被害量","ｔ","4870"
"007","(全国農業地域)_東海","015","病害_いもち病_被害率_実数","％","1.0"
"007","(全国農業地域)_東海","016","病害_いもち病_被害率_対前年差","ﾎﾟｲﾝﾄ","-0.1"
"007","(全国農業地域)_東海","017","虫害_ウンカ_被害面積","ha","11500"
"007","(全国農業地域)_東海","018","虫害_ウンカ_被害量","ｔ","9070"
"007","(全国農業地域)_東海","019","虫害_ウンカ_被害率_実数","％","2.0"
"007","(全国農業地域)_東海","020","虫害_ウンカ_被害率_対前年差","ﾎﾟｲﾝﾄ","1.7"
"007","(全国農業地域)_東海","021","虫害_カメムシ_被害面積","ha","20300"
"007","(全国農業地域)_東海","022","虫害_カメムシ_被害量","ｔ","2610"
"007","(全国農業地域)_東海","023","虫害_カメムシ_被害率_実数","％","0.6"
"007","(全国農業地域)_東海","024","虫害_カメムシ_被害率_対前年差","ﾎﾟｲﾝﾄ","0.1"
"008","(全国農業地域)_近畿","001","気象被害_冷害_被害面積","ha","－"
"008","(全国農業地域)_近畿","002","気象被害_冷害_被害量","ｔ","－"
"008","(全国農業地域)_近畿","003","気象被害_冷害_被害率_実数","％","－"
"008","(全国農業地域)_近畿","004","気象被害_冷害_被害率_対前年差","ﾎﾟｲﾝﾄ","－"
"008","(全国農業地域)_近畿","005","気象被害_日照不足_被害面積","ha","69200"
"008","(全国農業地域)_近畿","006","気象被害_日照不足_被害量","ｔ","13100"
"008","(全国農業地域)_近畿","007","気象被害_日照不足_被害率_実数","％","2.5"
"008","(全国農業地域)_近畿","008","気象被害_日照不足_被害率_対前年差","ﾎﾟｲﾝﾄ","0.6"
"008","(全国農業地域)_近畿","009","気象被害_高温障害_被害面積","ha","40500"
"008","(全国農業地域)_近畿","010","気象被害_高温障害_被害量","ｔ","5670"
"008","(全国農業地域)_近畿","011","気象被害_高温障害_被害率_実数","％","1.1"
"008","(全国農業地域)_近畿","012","気象被害_高温障害_被害率_対前年差","ﾎﾟｲﾝﾄ","0.2"
"008","(全国農業地域)_近畿","013","病害_いもち病_被害面積","ha","15600"
"008","(全国農業地域)_近畿","014","病害_いもち病_被害量","ｔ","4390"
"008","(全国農業地域)_近畿","015","病害_いもち病_被害率_実数","％","0.9"
"008","(全国農業地域)_近畿","016","病害_いもち病_被害率_対前年差","ﾎﾟｲﾝﾄ","0.1"
"008","(全国農業地域)_近畿","017","虫害_ウンカ_被害面積","ha","21000"
"008","(全国農業地域)_近畿","018","虫害_ウンカ_被害量","ｔ","11300"
"008","(全国農業地域)_近畿","019","虫害_ウンカ_被害率_実数","％","2.2"
"008","(全国農業地域)_近畿","020","虫害_ウンカ_被害率_対前年差","ﾎﾟｲﾝﾄ","1.7"
"008","(全国農業地域)_近畿","021","虫害_カメムシ_被害面積","ha","11800"
"008","(全国農業地域)_近畿","022","虫害_カメムシ_被害量","ｔ","1650"
"008","(全国農業地域)_近畿","023","虫害_カメムシ_被害率_実数","％","0.3"
"008","(全国農業地域)_近畿","024","虫害_カメムシ_被害率_対前年差","ﾎﾟｲﾝﾄ","0.1"
"009","(全国農業地域)_中国","001","気象被害_冷害_被害面積","ha","－"
"009","(全国農業地域)_中国","002","気象被害_冷害_被害量","ｔ","－"
"009","(全国農業地域)_中国","003","気象被害_冷害_被害率_実数","％","－"
"009","(全国農業地域)_中国","004","気象被害_冷害_被害率_対前年差","ﾎﾟｲﾝﾄ","－"
"009","(全国農業地域)_中国","005","気象被害_日照不足_被害面積","ha","85000"
"009","(全国農業地域)_中国","006","気象被害_日照不足_被害量","ｔ","14400"
"009","(全国農業地域)_中国","007","気象被害_日照不足_被害率_実数","％","2.7"
"009","(全国農業地域)_中国","008","気象被害_日照不足_被害率_対前年差","ﾎﾟｲﾝﾄ","-1.4"
"009","(全国農業地域)_中国","009","気象被害_高温障害_被害面積","ha","44000"
"009","(全国農業地域)_中国","010","気象被害_高温障害_被害量","ｔ","6990"
"009","(全国農業地域)_中国","011","気象被害_高温障害_被害率_実数","％","1.3"
"009","(全国農業地域)_中国","012","気象被害_高温障害_被害率_対前年差","ﾎﾟｲﾝﾄ","0.0"
"009","(全国農業地域)_中国","013","病害_いもち病_被害面積","ha","19800"
"009","(全国農業地域)_中国","014","病害_いもち病_被害量","ｔ","5210"
"009","(全国農業地域)_中国","015","病害_いもち病_被害率_実数","％","1.0"
"009","(全国農業地域)_中国","016","病害_いもち病_被害率_対前年差","ﾎﾟｲﾝﾄ","0.1"
"009","(全国農業地域)_中国","017","虫害_ウンカ_被害面積","ha","26200"
"009","(全国農業地域)_中国","018","虫害_ウンカ_被害量","ｔ","24700"
"009","(全国農業地域)_中国","019","虫害_ウンカ_被害率_実数","％","4.7"
"009","(全国農業地域)_中国","020","虫害_ウンカ_被害率_対前年差","ﾎﾟｲﾝﾄ","3.6"
"009","(全国農業地域)_中国","021","虫害_カメムシ_被害面積","ha","8020"
"009","(全国農業地域)_中国","022","虫害_カメムシ_被害量","ｔ","1540"
"009","(全国農業地域)_中国","023","虫害_カメムシ_被害率_実数","％","0.3"
"009","(全国農業地域)_中国","024","虫害_カメムシ_被害率_対前年差","ﾎﾟｲﾝﾄ","0.0"
"010","(全国農業地域)_四国","001","気象被害_冷害_被害面積","ha","－"
"010","(全国農業地域)_四国","002","気象被害_冷害_被害量","ｔ","－"
"010","(全国農業地域)_四国","003","気象被害_冷害_被害率_実数","％","－"
"010","(全国農業地域)_四国","004","気象被害_冷害_被害率_対前年差","ﾎﾟｲﾝﾄ","－"
"010","(全国農業地域)_四国","005","気象被害_日照不足_被害面積","ha","43100"
"010","(全国農業地域)_四国","006","気象被害_日照不足_被害量","ｔ","8200"
"010","(全国農業地域)_四国","007","気象被害_日照不足_被害率_実数","％","3.6"
"010","(全国農業地域)_四国","008","気象被害_日照不足_被害率_対前年差","ﾎﾟｲﾝﾄ","-1.6"
"010","(全国農業地域)_四国","009","気象被害_高温障害_被害面積","ha","30300"
"010","(全国農業地域)_四国","010","気象被害_高温障害_被害量","ｔ","3340"
"010","(全国農業地域)_四国","011","気象被害_高温障害_被害率_実数","％","1.5"
"010","(全国農業地域)_四国","012","気象被害_高温障害_被害率_対前年差","ﾎﾟｲﾝﾄ","0.5"
"010","(全国農業地域)_四国","013","病害_いもち病_被害面積","ha","14300"
"010","(全国農業地域)_四国","014","病害_いもち病_被害量","ｔ","3080"
"010","(全国農業地域)_四国","015","病害_いもち病_被害率_実数","％","1.3"
"010","(全国農業地域)_四国","016","病害_いもち病_被害率_対前年差","ﾎﾟｲﾝﾄ","-0.1"
"010","(全国農業地域)_四国","017","虫害_ウンカ_被害面積","ha","10400"
"010","(全国農業地域)_四国","018","虫害_ウンカ_被害量","ｔ","3870"
"010","(全国農業地域)_四国","019","虫害_ウンカ_被害率_実数","％","1.7"
"010","(全国農業地域)_四国","020","虫害_ウンカ_被害率_対前年差","ﾎﾟｲﾝﾄ","0.4"
"010","(全国農業地域)_四国","021","虫害_カメムシ_被害面積","ha","10900"
"010","(全国農業地域)_四国","022","虫害_カメムシ_被害量","ｔ","687"
"010","(全国農業地域)_四国","023","虫害_カメムシ_被害率_実数","％","0.3"
"010","(全国農業地域)_四国","024","虫害_カメムシ_被害率_対前年差","ﾎﾟｲﾝﾄ","0.0"
"011","(全国農業地域)_九州","001","気象被害_冷害_被害面積","ha","－"
"011","(全国農業地域)_九州","002","気象被害_冷害_被害量","ｔ","－"
"011","(全国農業地域)_九州","003","気象被害_冷害_被害率_実数","％","－"
"011","(全国農業地域)_九州","004","気象被害_冷害_被害率_対前年差","ﾎﾟｲﾝﾄ","－"
"011","(全国農業地域)_九州","005","気象被害_日照不足_被害面積","ha","156400"
"011","(全国農業地域)_九州","006","気象被害_日照不足_被害量","ｔ","69900"
"011","(全国農業地域)_九州","007","気象被害_日照不足_被害率_実数","％","8.8"
"011","(全国農業地域)_九州","008","気象被害_日照不足_被害率_対前年差","ﾎﾟｲﾝﾄ","0.5"
"011","(全国農業地域)_九州","009","気象被害_高温障害_被害面積","ha","62500"
"011","(全国農業地域)_九州","010","気象被害_高温障害_被害量","ｔ","13000"
"011","(全国農業地域)_九州","011","気象被害_高温障害_被害率_実数","％","1.6"
"011","(全国農業地域)_九州","012","気象被害_高温障害_被害率_対前年差","ﾎﾟｲﾝﾄ","1.2"
"011","(全国農業地域)_九州","013","病害_いもち病_被害面積","ha","53100"
"011","(全国農業地域)_九州","014","病害_いもち病_被害量","ｔ","14300"
"011","(全国農業地域)_九州","015","病害_いもち病_被害率_実数","％","1.8"
"011","(全国農業地域)_九州","016","病害_いもち病_被害率_対前年差","ﾎﾟｲﾝﾄ","-0.2"
"011","(全国農業地域)_九州","017","虫害_ウンカ_被害面積","ha","40300"
"011","(全国農業地域)_九州","018","虫害_ウンカ_被害量","ｔ","19700"
"011","(全国農業地域)_九州","019","虫害_ウンカ_被害率_実数","％","2.5"
"011","(全国農業地域)_九州","020","虫害_ウンカ_被害率_対前年差","ﾎﾟｲﾝﾄ","-0.7"
"011","(全国農業地域)_九州","021","虫害_カメムシ_被害面積","ha","10700"
"011","(全国農業地域)_九州","022","虫害_カメムシ_被害量","ｔ","1670"
"011","(全国農業地域)_九州","023","虫害_カメムシ_被害率_実数","％","0.2"
"011","(全国農業地域)_九州","024","虫害_カメムシ_被害率_対前年差","ﾎﾟｲﾝﾄ","0.0"
"012","(全国農業地域)_沖縄","001","気象被害_冷害_被害面積","ha","－"
"012","(全国農業地域)_沖縄","002","気象被害_冷害_被害量","ｔ","－"
"012","(全国農業地域)_沖縄","003","気象被害_冷害_被害率_実数","％","－"
"012","(全国農業地域)_沖縄","004","気象被害_冷害_被害率_対前年差","ﾎﾟｲﾝﾄ","－"
"012","(全国農業地域)_沖縄","005","気象被害_日照不足_被害面積","ha","－"
"012","(全国農業地域)_沖縄","006","気象被害_日照不足_被害量","ｔ","－"
"012","(全国農業地域)_沖縄","007","気象被害_日照不足_被害率_実数","％","－"
"012","(全国農業地域)_沖縄","008","気象被害_日照不足_被害率_対前年差","ﾎﾟｲﾝﾄ","-2.4"
"012","(全国農業地域)_沖縄","009","気象被害_高温障害_被害面積","ha","－"
"012","(全国農業地域)_沖縄","010","気象被害_高温障害_被害量","ｔ","－"
"012","(全国農業地域)_沖縄","011","気象被害_高温障害_被害率_実数","％","－"
"012","(全国農業地域)_沖縄","012","気象被害_高温障害_被害率_対前年差","ﾎﾟｲﾝﾄ","-0.7"
"012","(全国農業地域)_沖縄","013","病害_いもち病_被害面積","ha","15"
"012","(全国農業地域)_沖縄","014","病害_いもち病_被害量","ｔ","12"
"012","(全国農業地域)_沖縄","015","病害_いもち病_被害率_実数","％","0.6"
"012","(全国農業地域)_沖縄","016","病害_いもち病_被害率_対前年差","ﾎﾟｲﾝﾄ","0.1"
"012","(全国農業地域)_沖縄","017","虫害_ウンカ_被害面積","ha","0"
"012","(全国農業地域)_沖縄","018","虫害_ウンカ_被害量","ｔ","0"
"012","(全国農業地域)_沖縄","019","虫害_ウンカ_被害率_実数","％","0.0"
"012","(全国農業地域)_沖縄","020","虫害_ウンカ_被害率_対前年差","ﾎﾟｲﾝﾄ","0.0"
"012","(全国農業地域)_沖縄","021","虫害_カメムシ_被害面積","ha","15"
"012","(全国農業地域)_沖縄","022","虫害_カメムシ_被害量","ｔ","7"
"012","(全国農業地域)_沖縄","023","虫害_カメムシ_被害率_実数","％","0.3"
"012","(全国農業地域)_沖縄","024","虫害_カメムシ_被害率_対前年差","ﾎﾟｲﾝﾄ","0.3"
"013","(都道府県)_北海道","001","気象被害_冷害_被害面積","ha","35900"
"013","(都道府県)_北海道","002","気象被害_冷害_被害量","ｔ","3800"
"013","(都道府県)_北海道","003","気象被害_冷害_被害率_実数","％","0.7"
"013","(都道府県)_北海道","004","気象被害_冷害_被害率_対前年差","ﾎﾟｲﾝﾄ","-0.8"
"013","(都道府県)_北海道","005","気象被害_日照不足_被害面積","ha","82200"
"013","(都道府県)_北海道","006","気象被害_日照不足_被害量","ｔ","14400"
"013","(都道府県)_北海道","007","気象被害_日照不足_被害率_実数","％","2.6"
"013","(都道府県)_北海道","008","気象被害_日照不足_被害率_対前年差","ﾎﾟｲﾝﾄ","0.2"
"013","(都道府県)_北海道","009","気象被害_高温障害_被害面積","ha","5520"
"013","(都道府県)_北海道","010","気象被害_高温障害_被害量","ｔ","303"
"013","(都道府県)_北海道","011","気象被害_高温障害_被害率_実数","％","0.1"
"013","(都道府県)_北海道","012","気象被害_高温障害_被害率_対前年差","ﾎﾟｲﾝﾄ","0.0"
"013","(都道府県)_北海道","013","病害_いもち病_被害面積","ha","1220"
"013","(都道府県)_北海道","014","病害_いもち病_被害量","ｔ","74"
"013","(都道府県)_北海道","015","病害_いもち病_被害率_実数","％","0.0"
"013","(都道府県)_北海道","016","病害_いもち病_被害率_対前年差","ﾎﾟｲﾝﾄ","0.0"
"013","(都道府県)_北海道","017","虫害_ウンカ_被害面積","ha","804"
"013","(都道府県)_北海道","018","虫害_ウンカ_被害量","ｔ","52"
"013","(都道府県)_北海道","019","虫害_ウンカ_被害率_実数","％","0.0"
"013","(都道府県)_北海道","020","虫害_ウンカ_被害率_対前年差","ﾎﾟｲﾝﾄ","0.0"
"013","(都道府県)_北海道","021","虫害_カメムシ_被害面積","ha","3450"
"013","(都道府県)_北海道","022","虫害_カメムシ_被害量","ｔ","257"
"013","(都道府県)_北海道","023","虫害_カメムシ_被害率_実数","％","0.0"
"013","(都道府県)_北海道","024","虫害_カメムシ_被害率_対前年差","ﾎﾟｲﾝﾄ","-0.1"
"014","(都道府県)_青森","001","気象被害_冷害_被害面積","ha","1630"
"014","(都道府県)_青森","002","気象被害_冷害_被害量","ｔ","1500"
"014","(都道府県)_青森","003","気象被害_冷害_被害率_実数","％","0.6"
"014","(都道府県)_青森","004","気象被害_冷害_被害率_対前年差","ﾎﾟｲﾝﾄ","0.6"
