,date,ndvi,evi
206,2020-07-25,,
207,2020-07-26,,
208,2020-07-27,,
209,2020-07-28,,
210,2020-07-29,0.57004964,1.4902272
211,2020-07-30,,
212,2020-07-31,,
213,2020-08-01,0.5537027,1.2896221
214,2020-08-02,,
215,2020-08-03,,
216,2020-08-04,,
217,2020-08-05,,
218,2020-08-06,,
219,2020-08-07,0.5915156,6165.935
220,2020-08-08,0.5716934,1.420644
221,2020-08-09,,
222,2020-08-10,,
223,2020-08-11,,
224,2020-08-12,,
225,2020-08-13,,
226,2020-08-14,,
227,2020-08-15,,
228,2020-08-16,,
229,2020-08-17,0.591229,1.6449002
230,2020-08-18,,
231,2020-08-19,,
232,2020-08-20,,
233,2020-08-21,,
234,2020-08-22,,
235,2020-08-23,,
236,2020-08-24,0.70376253,1.7849199
237,2020-08-25,0.7185958,1.8387631
238,2020-08-26,0.70487475,1.8826516
239,2020-08-27,,
240,2020-08-28,,
241,2020-08-29,0.716232,1.9799505
242,2020-08-30,0.6865491,1.8822058
243,2020-08-31,,
244,2020-09-01,,
245,2020-09-02,,
246,2020-09-03,0.71215355,1.9564353
247,2020-09-04,,
248,2020-09-05,,
249,2020-09-06,0.7386473,1.8933355
250,2020-09-07,,
251,2020-09-08,,
252,2020-09-09,,
253,2020-09-10,,
254,2020-09-11,0.7223871,1.9974662
255,2020-09-12,,
256,2020-09-13,,
257,2020-09-14,,
258,2020-09-15,,
259,2020-09-16,0.71906334,1.8999282
260,2020-09-17,0.70872074,1.9193512
261,2020-09-18,,
262,2020-09-19,,
263,2020-09-20,,
264,2020-09-21,,
265,2020-09-22,,
266,2020-09-23,,
267,2020-09-24,,
268,2020-09-25,,
269,2020-09-26,,
270,2020-09-27,,
271,2020-09-28,,
272,2020-09-29,,
273,2020-09-30,,
274,2020-10-01,,
275,2020-10-02,0.71760356,2167.2173
276,2020-10-03,,
277,2020-10-04,0.711686,1.9549322
278,2020-10-05,,
279,2020-10-06,,
280,2020-10-07,,
281,2020-10-08,0.70631707,1.8798366
282,2020-10-09,,
283,2020-10-10,0.6971456,1.9324392
284,2020-10-11,,
285,2020-10-12,,
286,2020-10-13,,
287,2020-10-14,0.6317516,1.7293489
288,2020-10-15,0.72061145,1.8589344
289,2020-10-16,,
290,2020-10-17,,
291,2020-10-18,,
292,2020-10-19,,
293,2020-10-20,,
294,2020-10-21,,
295,2020-10-22,,
296,2020-10-23,,
297,2020-10-24,,
298,2020-10-25,,
299,2020-10-26,,
300,2020-10-27,0.61306655,1.5407958
301,2020-10-28,,
302,2020-10-29,,
303,2020-10-30,,
304,2020-10-31,,
305,2020-11-01,0.5813898,1.4150113
306,2020-11-02,,
307,2020-11-03,0.09515674,-0.16513489
308,2020-11-04,,
309,2020-11-05,0.549134,1.3850889
310,2020-11-06,,
311,2020-11-07,,
312,2020-11-08,,
313,2020-11-09,0.5218727,1.2711422
314,2020-11-10,,
315,2020-11-11,0.5050292,1.1587552
316,2020-11-12,0.4807821,1.124317
317,2020-11-13,0.47060302,1.1767542
318,2020-11-14,,
319,2020-11-15,,
320,2020-11-16,,
321,2020-11-17,,
322,2020-11-18,0.4643169,1.1050651
323,2020-11-19,,
324,2020-11-20,0.5249284,50490.12
325,2020-11-21,,
326,2020-11-22,,
327,2020-11-23,,
328,2020-11-24,,
329,2020-11-25,,
330,2020-11-26,,
331,2020-11-27,,
332,2020-11-28,0.44416136,1.1784115
333,2020-11-29,0.46886092,1.2901946
334,2020-11-30,,
335,2020-12-01,,
336,2020-12-02,,
337,2020-12-03,,
338,2020-12-04,,
339,2020-12-05,,
340,2020-12-06,,
341,2020-12-07,,
342,2020-12-08,,
343,2020-12-09,,
344,2020-12-10,,
345,2020-12-11,,
346,2020-12-12,,
347,2020-12-13,,
348,2020-12-14,,
349,2020-12-15,,
350,2020-12-16,,
351,2020-12-17,,
352,2020-12-18,,
353,2020-12-19,,
354,2020-12-20,,
355,2020-12-21,,
356,2020-12-22,,
357,2020-12-23,,
358,2020-12-24,,
359,2020-12-25,,
360,2020-12-26,,
361,2020-12-27,,
362,2020-12-28,,
363,2020-12-29,,
364,2020-12-30,,
365,2020-12-31,,
366,2021-01-01,,
367,2021-01-02,,
368,2021-01-03,,
369,2021-01-04,,
370,2021-01-05,,
371,2021-01-06,,
372,2021-01-07,,
373,2021-01-08,,
374,2021-01-09,,
375,2021-01-10,,
376,2021-01-11,,
377,2021-01-12,,
378,2021-01-13,,
379,2021-01-14,,
380,2021-01-15,,
381,2021-01-16,,
382,2021-01-17,,
383,2021-01-18,,
384,2021-01-19,,
385,2021-01-20,,
386,2021-01-21,,
387,2021-01-22,,
388,2021-01-23,,
389,2021-01-24,,
390,2021-01-25,,
391,2021-01-26,,
392,2021-01-27,,
393,2021-01-28,,
394,2021-01-29,,
395,2021-01-30,,
396,2021-01-31,,
397,2021-02-01,,
398,2021-02-02,,
399,2021-02-03,,
400,2021-02-04,,
401,2021-02-05,,
402,2021-02-06,,
403,2021-02-07,,
404,2021-02-08,,
405,2021-02-09,,
406,2021-02-10,,
407,2021-02-11,,
408,2021-02-12,,
409,2021-02-13,,
410,2021-02-14,,
411,2021-02-15,,
412,2021-02-16,,
413,2021-02-17,,
414,2021-02-18,,
415,2021-02-19,,
416,2021-02-20,,
417,2021-02-21,,
418,2021-02-22,,
419,2021-02-23,,
420,2021-02-24,,
421,2021-02-25,,
422,2021-02-26,,
423,2021-02-27,,
424,2021-02-28,,
425,2021-03-01,,
426,2021-03-02,,
427,2021-03-03,,
428,2021-03-04,,
429,2021-03-05,,
430,2021-03-06,,
431,2021-03-07,,
432,2021-03-08,,
433,2021-03-09,,
434,2021-03-10,,
435,2021-03-11,,
436,2021-03-12,,
437,2021-03-13,,
438,2021-03-14,,
439,2021-03-15,,
440,2021-03-16,,
441,2021-03-17,,
442,2021-03-18,,
443,2021-03-19,,
444,2021-03-20,,
445,2021-03-21,,
446,2021-03-22,,
447,2021-03-23,,
448,2021-03-24,,
449,2021-03-25,,
450,2021-03-26,,
451,2021-03-27,0.47747692,1.098749
452,2021-03-28,0.48933557,1.0720438
453,2021-03-29,,
454,2021-03-30,,
455,2021-03-31,,
456,2021-04-01,,
457,2021-04-02,,
458,2021-04-03,,
459,2021-04-04,,
460,2021-04-05,,
461,2021-04-06,,
462,2021-04-07,,
463,2021-04-08,,
464,2021-04-09,,
465,2021-04-10,,
466,2021-04-11,,
467,2021-04-12,,
468,2021-04-13,0.51694274,1.2154284
469,2021-04-14,,
470,2021-04-15,,
471,2021-04-16,,
472,2021-04-17,,
473,2021-04-18,,
474,2021-04-19,,
475,2021-04-20,,
476,2021-04-21,0.4305471,0.9713245
477,2021-04-22,0.5527333,1.2298313
478,2021-04-23,,
479,2021-04-24,0.4803378,1.3856438
480,2021-04-25,,
481,2021-04-26,,
482,2021-04-27,,
483,2021-04-28,,
484,2021-04-29,,
485,2021-04-30,0.5115289,1.3307816
486,2021-05-01,,
487,2021-05-02,,
488,2021-05-03,,
489,2021-05-04,,
490,2021-05-05,,
491,2021-05-06,,
492,2021-05-07,,
493,2021-05-08,,
494,2021-05-09,,
495,2021-05-10,,
496,2021-05-11,,
497,2021-05-12,,
498,2021-05-13,,
499,2021-05-14,0.5793023,3282.8286
500,2021-05-15,,
501,2021-05-16,0.6233183,1.6039349
502,2021-05-17,,
503,2021-05-18,,
504,2021-05-19,,
505,2021-05-20,,
506,2021-05-21,,
507,2021-05-22,,
508,2021-05-23,,
509,2021-05-24,,
510,2021-05-25,,
511,2021-05-26,0.6292389,2.103622
512,2021-05-27,,
513,2021-05-28,,
514,2021-05-29,,
515,2021-05-30,,
516,2021-05-31,,
517,2021-06-01,,
518,2021-06-02,,
519,2021-06-03,,
520,2021-06-04,0.6840978,2.0263824
521,2021-06-05,,
522,2021-06-06,,
523,2021-06-07,,
524,2021-06-08,,
525,2021-06-09,,
526,2021-06-10,,
527,2021-06-11,0.72564363,1.9876287
528,2021-06-12,,
529,2021-06-13,,
530,2021-06-14,,
531,2021-06-15,0.70387214,1.9115863
532,2021-06-16,,
533,2021-06-17,0.6545117,1.8178792
534,2021-06-18,0.70859325,1.9527003
535,2021-06-19,,
536,2021-06-20,,
537,2021-06-21,,
538,2021-06-22,,
539,2021-06-23,,
540,2021-06-24,,
541,2021-06-25,,
542,2021-06-26,,
543,2021-06-27,,
544,2021-06-28,,
545,2021-06-29,,
546,2021-06-30,,
547,2021-07-01,,
548,2021-07-02,,
549,2021-07-03,,
550,2021-07-04,,
551,2021-07-05,0.6587499,1.7122744
552,2021-07-06,,
553,2021-07-07,,
554,2021-07-08,0.654096,1.6693563
555,2021-07-09,0.6367096,1.699782
556,2021-07-10,0.63090295,1.5748565
557,2021-07-11,,
558,2021-07-12,,
559,2021-07-13,,
560,2021-07-14,,
561,2021-07-15,0.5645318,12248.806
562,2021-07-16,,
563,2021-07-17,,
564,2021-07-18,,
565,2021-07-19,,
566,2021-07-20,,
567,2021-07-21,,
568,2021-07-22,,
569,2021-07-23,,
570,2021-07-24,,
571,2021-07-25,0.48831472,11629.667
572,2021-07-26,0.4893516,1.1719435
573,2021-07-27,,
574,2021-07-28,0.54588497,1.3567768
575,2021-07-29,,
576,2021-07-30,,
577,2021-07-31,,
578,2021-08-01,,
579,2021-08-02,,
580,2021-08-03,,
581,2021-08-04,,
582,2021-08-05,,
583,2021-08-06,,
584,2021-08-07,,
585,2021-08-08,,
586,2021-08-09,,
587,2021-08-10,,
588,2021-08-11,,
589,2021-08-12,,
590,2021-08-13,0.607776,8804.6455
591,2021-08-14,,
592,2021-08-15,,
593,2021-08-16,0.6080891,1.6275496
594,2021-08-17,,
595,2021-08-18,,
596,2021-08-19,0.6446571,9055.104
597,2021-08-20,0.6166495,1.5860242
598,2021-08-21,,
599,2021-08-22,,
600,2021-08-23,,
601,2021-08-24,0.6453556,1.6670041
602,2021-08-25,,
603,2021-08-26,,
604,2021-08-27,,
605,2021-08-28,0.68054706,7807.381
606,2021-08-29,,
607,2021-08-30,,
608,2021-08-31,,
609,2021-09-01,,
610,2021-09-02,0.65717477,1.7626553
611,2021-09-03,,
612,2021-09-04,0.71270293,1.8456614
613,2021-09-05,,
614,2021-09-06,0.71655726,1.860398
615,2021-09-07,0.7168742,1.8702759
616,2021-09-08,,
617,2021-09-09,0.6562762,1.7884805
618,2021-09-10,,
619,2021-09-11,0.684688,1.8534977
620,2021-09-12,,
621,2021-09-13,0.6872685,1.8308462
622,2021-09-14,,
623,2021-09-15,,
624,2021-09-16,,
625,2021-09-17,,
626,2021-09-18,0.6950461,2.1838121
627,2021-09-19,0.7076497,2.1150005
628,2021-09-20,0.712004,1.9218341
629,2021-09-21,,
630,2021-09-22,0.68750566,1.7922393
631,2021-09-23,,
632,2021-09-24,,
633,2021-09-25,0.72118914,1.9595106
634,2021-09-26,0.72467774,1.9779408
635,2021-09-27,0.70462626,1.8545319
636,2021-09-28,0.67828554,1.8898153
637,2021-09-29,0.64466625,1.5464864
638,2021-09-30,,
639,2021-10-01,,
640,2021-10-02,,
641,2021-10-03,0.69144917,1.8149912
642,2021-10-04,,
643,2021-10-05,0.6984628,2.0093832
644,2021-10-06,,
645,2021-10-07,,
646,2021-10-08,,
647,2021-10-09,,
648,2021-10-10,0.60002744,1.824442
649,2021-10-11,0.6779797,1.7783091
650,2021-10-12,,
651,2021-10-13,,
652,2021-10-14,,
653,2021-10-15,,
654,2021-10-16,0.6673619,2060.7961
655,2021-10-17,,
656,2021-10-18,0.63444823,1.7157658
657,2021-10-19,,
658,2021-10-20,,
659,2021-10-21,,
660,2021-10-22,,
661,2021-10-23,,
662,2021-10-24,,
663,2021-10-25,,
664,2021-10-26,,
665,2021-10-27,,
666,2021-10-28,0.68465656,1.7771101
667,2021-10-29,,
668,2021-10-30,,
669,2021-10-31,0.59472805,1.4356445
670,2021-11-01,,
671,2021-11-02,,
672,2021-11-03,,
673,2021-11-04,,
674,2021-11-05,,
675,2021-11-06,0.54379,1.3341864
676,2021-11-07,,
677,2021-11-08,,
678,2021-11-09,0.547136,1.2522615
679,2021-11-10,0.56332666,1.3170334
680,2021-11-11,0.55545366,1.4424154
681,2021-11-12,0.5075186,4957.3066
682,2021-11-13,,
683,2021-11-14,0.50623524,1.3101805
684,2021-11-15,,
685,2021-11-16,,
686,2021-11-17,,
687,2021-11-18,,
688,2021-11-19,,
689,2021-11-20,,
690,2021-11-21,,
691,2021-11-22,,
692,2021-11-23,,
693,2021-11-24,0.52779025,1.2964227
694,2021-11-25,0.50628,1.2115098
695,2021-11-26,,
696,2021-11-27,0.49223822,1044.1403
697,2021-11-28,,
698,2021-11-29,,
699,2021-11-30,0.49100706,1.1383972
700,2021-12-01,,
701,2021-12-02,0.47478458,1.0937834
702,2021-12-03,,
703,2021-12-04,,
704,2021-12-05,,
705,2021-12-06,,
706,2021-12-07,,
707,2021-12-08,,
708,2021-12-09,,
709,2021-12-10,,
710,2021-12-11,,
711,2021-12-12,,
712,2021-12-13,,
713,2021-12-14,,
714,2021-12-15,,
715,2021-12-16,,
716,2021-12-17,,
717,2021-12-18,,
718,2021-12-19,,
719,2021-12-20,,
720,2021-12-21,,
721,2021-12-22,,
722,2021-12-23,,
723,2021-12-24,,
724,2021-12-25,,
725,2021-12-26,,
726,2021-12-27,,
727,2021-12-28,,
728,2021-12-29,,
729,2021-12-30,,
730,2021-12-31,,
731,2022-01-01,,
732,2022-01-02,,
733,2022-01-03,,
734,2022-01-04,,
735,2022-01-05,,
736,2022-01-06,,
737,2022-01-07,,
738,2022-01-08,,
739,2022-01-09,,
740,2022-01-10,,
741,2022-01-11,,
742,2022-01-12,,
743,2022-01-13,,
744,2022-01-14,,
745,2022-01-15,,
746,2022-01-16,,
747,2022-01-17,,
748,2022-01-18,,
749,2022-01-19,,
750,2022-01-20,,
751,2022-01-21,,
752,2022-01-22,,
753,2022-01-23,,
754,2022-01-24,,
755,2022-01-25,,
756,2022-01-26,,
757,2022-01-27,,
758,2022-01-28,,
759,2022-01-29,,
760,2022-01-30,,
761,2022-01-31,,
762,2022-02-01,,
763,2022-02-02,,
764,2022-02-03,,
765,2022-02-04,,
766,2022-02-05,,
767,2022-02-06,,
768,2022-02-07,,
769,2022-02-08,,
770,2022-02-09,,
771,2022-02-10,,
772,2022-02-11,,
773,2022-02-12,,
774,2022-02-13,,
775,2022-02-14,,
776,2022-02-15,,
777,2022-02-16,,
778,2022-02-17,,
779,2022-02-18,,
780,2022-02-19,,
781,2022-02-20,,
782,2022-02-21,,
783,2022-02-22,,
784,2022-02-23,,
785,2022-02-24,,
786,2022-02-25,,
787,2022-02-26,,
788,2022-02-27,,
789,2022-02-28,,
790,2022-03-01,,
791,2022-03-02,,
792,2022-03-03,,
793,2022-03-04,,
794,2022-03-05,,
795,2022-03-06,,
796,2022-03-07,,
797,2022-03-08,,
798,2022-03-09,,
799,2022-03-10,,
800,2022-03-11,,
801,2022-03-12,,
802,2022-03-13,,
803,2022-03-14,,
804,2022-03-15,,
805,2022-03-16,,
806,2022-03-17,,
807,2022-03-18,,
808,2022-03-19,,
809,2022-03-20,,
810,2022-03-21,,
811,2022-03-22,,
812,2022-03-23,,
813,2022-03-24,,
814,2022-03-25,,
815,2022-03-26,,
816,2022-03-27,,
817,2022-03-28,,
818,2022-03-29,0.49159348,1.2402338
819,2022-03-30,,
820,2022-03-31,,
821,2022-04-01,,
822,2022-04-02,,
823,2022-04-03,,
824,2022-04-04,0.43921074,1.0532373
825,2022-04-05,,
826,2022-04-06,,
827,2022-04-07,0.45846295,1.0631868
828,2022-04-08,0.44393775,1.0266544
829,2022-04-09,0.42666876,0.97248155
830,2022-04-10,0.44929397,1.0790681
831,2022-04-11,0.41660252,0.8999765
832,2022-04-12,,
833,2022-04-13,,
834,2022-04-14,,
835,2022-04-15,,
836,2022-04-16,,
837,2022-04-17,,
838,2022-04-18,,
839,2022-04-19,,
840,2022-04-20,,
841,2022-04-21,,
842,2022-04-22,,
843,2022-04-23,,
844,2022-04-24,0.53394043,1.3717743
845,2022-04-25,,
846,2022-04-26,,
847,2022-04-27,,
848,2022-04-28,,
849,2022-04-29,,
850,2022-04-30,,
851,2022-05-01,,
852,2022-05-02,,
853,2022-05-03,0.6297162,1.7033108
854,2022-05-04,,
855,2022-05-05,,
856,2022-05-06,,
857,2022-05-07,,
858,2022-05-08,,
859,2022-05-09,,
860,2022-05-10,,
861,2022-05-11,,
862,2022-05-12,,
863,2022-05-13,,
864,2022-05-14,,
865,2022-05-15,,
866,2022-05-16,,
867,2022-05-17,0.66686356,1.8085964
868,2022-05-18,0.6770569,1.7867826
869,2022-05-19,,
870,2022-05-20,0.6355522,1.833912
871,2022-05-21,,
872,2022-05-22,,
873,2022-05-23,,
874,2022-05-24,,
875,2022-05-25,,
876,2022-05-26,,
877,2022-05-27,,
878,2022-05-28,,
879,2022-05-29,,
880,2022-05-30,,
881,2022-05-31,,
882,2022-06-01,,
883,2022-06-02,,
884,2022-06-03,,
885,2022-06-04,,
886,2022-06-05,,
887,2022-06-06,,
888,2022-06-07,,
889,2022-06-08,,
890,2022-06-09,,
891,2022-06-10,,
892,2022-06-11,,
893,2022-06-12,,
894,2022-06-13,,
895,2022-06-14,,
896,2022-06-15,,
897,2022-06-16,,
898,2022-06-17,,
899,2022-06-18,,
900,2022-06-19,,
901,2022-06-20,,
902,2022-06-21,,
903,2022-06-22,,
904,2022-06-23,0.7403199,2416.9907
905,2022-06-24,0.7081472,1.9669672
906,2022-06-25,,
907,2022-06-26,,
908,2022-06-27,0.6841096,1.9558313
909,2022-06-28,,
910,2022-06-29,,
911,2022-06-30,,
912,2022-07-01,0.6849907,1.8879339
913,2022-07-02,,
914,2022-07-03,,
915,2022-07-04,,
916,2022-07-05,,
917,2022-07-06,,
918,2022-07-07,,
919,2022-07-08,,
920,2022-07-09,0.6527227,14206.426
921,2022-07-10,0.64953655,1.6664121
922,2022-07-11,,
923,2022-07-12,0.5948786,1.6514461
924,2022-07-13,0.5678405,1.3961965
925,2022-07-14,,
926,2022-07-15,0.6228254,1.494031
927,2022-07-16,0.67159617,1.5738295
928,2022-07-17,,
929,2022-07-18,,
930,2022-07-19,,
931,2022-07-20,,
932,2022-07-21,,
933,2022-07-22,0.51658505,1.2251983
934,2022-07-23,,
935,2022-07-24,0.5377238,1.2720882
936,2022-07-25,,
937,2022-07-26,,
938,2022-07-27,,
939,2022-07-28,,
940,2022-07-29,,
941,2022-07-30,0.52430105,1.3706285
942,2022-07-31,0.5400481,1.2880766
943,2022-08-01,0.5959312,1.3659333
944,2022-08-02,,
945,2022-08-03,,
946,2022-08-04,,
947,2022-08-05,,
948,2022-08-06,,
949,2022-08-07,,
950,2022-08-08,,
951,2022-08-09,,
952,2022-08-10,,
953,2022-08-11,0.5885432,1.4925292
954,2022-08-12,0.6009351,5231.9805
955,2022-08-13,,
956,2022-08-14,0.6143146,5608.91
957,2022-08-15,0.59382063,1.4778802
958,2022-08-16,,
959,2022-08-17,,
960,2022-08-18,,
961,2022-08-19,,
962,2022-08-20,,
963,2022-08-21,,
964,2022-08-22,,
965,2022-08-23,0.66502696,1.6665806
966,2022-08-24,,
967,2022-08-25,,
968,2022-08-26,,
969,2022-08-27,0.5954268,2.118024
970,2022-08-28,,
971,2022-08-29,,
972,2022-08-30,,
973,2022-08-31,0.64859945,1.7643758
974,2022-09-01,,
975,2022-09-02,,
976,2022-09-03,0.6578879,1.8196168
977,2022-09-04,,
978,2022-09-05,0.66515374,1.7870511
979,2022-09-06,,
980,2022-09-07,,
981,2022-09-08,0.670342,1.7038668
982,2022-09-09,0.6916806,1.6593238
983,2022-09-10,,
984,2022-09-11,0.66635317,1.7094592
985,2022-09-12,0.66162556,1.6602601
986,2022-09-13,0.6612095,1.6591887
987,2022-09-14,0.6559456,1.7001714
988,2022-09-15,0.6405492,1.5966204
989,2022-09-16,0.646684,1.9763992
990,2022-09-17,,
991,2022-09-18,,
992,2022-09-19,,
993,2022-09-20,0.65294814,1.7933737
994,2022-09-21,,
995,2022-09-22,0.5776524,6556.327
996,2022-09-23,,
997,2022-09-24,,
998,2022-09-25,0.6426677,1.6851754
999,2022-09-26,,
1000,2022-09-27,0.61458087,1.6874998
1001,2022-09-28,,
1002,2022-09-29,,
1003,2022-09-30,0.5744451,1.611744
1004,2022-10-01,0.5810816,18302.998
1005,2022-10-02,0.62190074,1.6917048
1006,2022-10-03,,
1007,2022-10-04,,
1008,2022-10-05,,
1009,2022-10-06,,
1010,2022-10-07,,
1011,2022-10-08,,
1012,2022-10-09,0.62134475,1.6464723
1013,2022-10-10,,
1014,2022-10-11,0.61712945,1.5338911
1015,2022-10-12,,
1016,2022-10-13,0.59361047,1.5914733
1017,2022-10-14,,
1018,2022-10-15,,
1019,2022-10-16,,
1020,2022-10-17,,
1021,2022-10-18,,
1022,2022-10-19,,
1023,2022-10-20,,
1024,2022-10-21,,
1025,2022-10-22,,
1026,2022-10-23,,
1027,2022-10-24,,
1028,2022-10-25,,
1029,2022-10-26,0.5639524,1.3794353
1030,2022-10-27,0.5615366,1.3928038
1031,2022-10-28,,
1032,2022-10-29,,
1033,2022-10-30,,
1034,2022-10-31,,
1035,2022-11-01,,
1036,2022-11-02,,
1037,2022-11-03,,
1038,2022-11-04,,
1039,2022-11-05,,
1040,2022-11-06,0.46036708,1.0726581
1041,2022-11-07,,
1042,2022-11-08,,
1043,2022-11-09,,
1044,2022-11-10,,
1045,2022-11-11,,
1046,2022-11-12,0.4255413,2071.4316
1047,2022-11-13,0.49542052,1.0679294
1048,2022-11-14,,
1049,2022-11-15,,
1050,2022-11-16,,
1051,2022-11-17,0.44827065,1556.2482
1052,2022-11-18,0.43757555,1.0709596
1053,2022-11-19,0.4635418,4790.905
1054,2022-11-20,0.46149117,1.0677619
1055,2022-11-21,,
1056,2022-11-22,,
1057,2022-11-23,,
1058,2022-11-24,,
1059,2022-11-25,,
1060,2022-11-26,0.46293414,1.4918079
1061,2022-11-27,,
1062,2022-11-28,,
1063,2022-11-29,0.47615874,596.6167
1064,2022-11-30,,
1065,2022-12-01,,
1066,2022-12-02,,
1067,2022-12-03,,
1068,2022-12-04,,
1069,2022-12-05,,
1070,2022-12-06,,
1071,2022-12-07,,
1072,2022-12-08,,
1073,2022-12-09,,
1074,2022-12-10,,
1075,2022-12-11,,
1076,2022-12-12,,
1077,2022-12-13,,
1078,2022-12-14,,
1079,2022-12-15,,
1080,2022-12-16,,
1081,2022-12-17,,
1082,2022-12-18,,
1083,2022-12-19,,
1084,2022-12-20,,
1085,2022-12-21,,
1086,2022-12-22,,
1087,2022-12-23,,
1088,2022-12-24,,
1089,2022-12-25,,
1090,2022-12-26,,
1091,2022-12-27,,
1092,2022-12-28,,
1093,2022-12-29,,
1094,2022-12-30,,
